"Деталь","Число","Ссылка","Замена"
"Профиль V-Slot 20 x 40mm","1","openbuildspartstore.com/v-slot-linear-rail/",""
"Колеса Mini V Wheel ","4","openbuildspartstore.com/delrin-mini-v-wheel/",""
"Мини-подшипники","8","openbuildspartstore.com/mini-ball-bearing-5x10x4-2/","Подшипники MR105"
"Шайбы","4","openbuildspartstore.com/mini-v-wheel-precision-shim/","На токарном станке"
"","","",""
"Контроллер Arduino Pro Mini","1","",""
"Драйвер Pololu DRV8834","1","robototehnika.ru/e-store/catalog/203/1358/",""
"Модуль Bluetooth HC-06","1","","HC-05 и другие"
"Понижающий DC-DC преобразователь","1","",""
"","","",""
"Шаговый мотор Nema 17 42BYGHW609","1","roboino.ru/product/a58",""
"Шкив для зубчатого ремня","1","",""
"Зубчатый ремень","1","",""
"","","",""
"Гайки Tee Nuts ","10+-","openbuildspartstore.com/tee-nuts-25-pack/",""
"Винты М3х45 ","4","",""
"Установочные винты M3х5 ","2","",""
"Установочные винты M5х4 ","2","",""
"Винты М3х8","6","",""
"Гайки М3","2","",""
"Винты М5х20","4","",""
"Винты М5х15","12","",""
"","","",""
"Штативная головка Slik SBH-100DQ","1","","Другая по вкусу"
"","","",""
"Детали на токарном станке","4","",""
"Детали на фрезерном станке","3","",""
"Детали на 3D-принтере","3","",""
"Плата с разводкой и пинами","1","",""
"","","",""
"Преобразователь USB-UART","1","",""
"Метчик 1/4","1","",""
"Лерка 1/4","1","","15мм кусок резьбы 1/4"
"Шестигранник 1.5мм","","",""
"Шестигранник 2.5мм","","",""
